Wavelength (nm),SLS201L Power (a.u.)
412.65,0.203069217
412.86,0.203411291
413.07,0.203923554
413.28,0.204627027
413.49,0.205065383
413.71,0.205542727
413.92,0.206179412
414.13,0.206628278
414.34,0.206961876
414.55,0.207490074
414.76,0.207628734
414.98,0.208191173
415.19,0.208556639
415.4,0.20909772
415.61,0.209523532
415.82,0.2096805
416.03,0.210259212
416.25,0.210598913
416.46,0.211029133
416.67,0.211496984
416.88,0.212135703
417.09,0.212587281
417.3,0.212961223
417.52,0.213436194
417.73,0.213960663
417.94,0.214315958
418.15,0.214768554
418.36,0.215134359
418.57,0.215546272
418.78,0.215917163
419,0.21624093
419.21,0.216511131
419.42,0.217143069
419.63,0.217554643
419.84,0.217898412
420.05,0.218160816
420.26,0.218538487
420.48,0.219003287
420.69,0.219458595
420.9,0.219835588
421.11,0.220169526
421.32,0.220459051
421.53,0.220735355
421.74,0.221227616
421.95,0.221675126
422.17,0.222055848
422.38,0.222389447
422.59,0.222844754
422.8,0.223149536
423.01,0.223478388
423.22,0.223691294
423.43,0.224197116
423.64,0.224534105
423.86,0.224847362
424.07,0.225063997
424.28,0.225478283
424.49,0.226007837
424.7,0.226399408
424.91,0.226681814
425.12,0.227050671
425.33,0.227349011
425.55,0.227616839
425.76,0.22785585
425.97,0.228279628
426.18,0.228747819
426.39,0.229079722
426.6,0.229380774
426.81,0.229408574
427.02,0.22980896
427.23,0.230032037
427.45,0.230433101
427.66,0.230855862
427.87,0.231272521
428.08,0.231503735
428.29,0.231537976
428.5,0.231955313
428.71,0.232143132
428.92,0.23243503
429.13,0.232678788
429.34,0.233017811
429.56,0.233342933
429.77,0.233536176
429.98,0.233868758
430.19,0.234155571
430.4,0.234405431
430.61,0.234672581
430.82,0.234951258
431.03,0.234944816
431.24,0.235143822
431.45,0.235264176
431.66,0.235349948
431.87,0.235733722
432.09,0.235881536
432.3,0.236197166
432.51,0.236352439
432.72,0.236561277
432.93,0.236846056
433.14,0.237007092
433.35,0.237255595
433.56,0.237491894
433.77,0.237874312
433.98,0.237885839
434.19,0.238183162
434.4,0.238412002
434.61,0.238756788
434.83,0.238697798
435.04,0.238883244
435.25,0.239149377
435.46,0.239260576
435.67,0.239519928
435.88,0.23972063
436.09,0.239767076
436.3,0.239787417
436.51,0.239846746
436.72,0.240048126
436.93,0.240061348
437.14,0.24021662
437.35,0.240310869
437.56,0.240315276
437.77,0.240375961
437.98,0.240729562
438.2,0.240855339
438.41,0.240828895
438.62,0.240880427
438.83,0.241139101
439.04,0.241196057
439.25,0.241345566
439.46,0.241481175
439.67,0.241521858
439.88,0.241657467
440.09,0.241825961
440.3,0.241853761
440.51,0.241827656
440.72,0.241824605
