# p_696_57, p_706_73,p_738_45,p_750_42, p_751_52, p_763_55, p_772_44, p_794_90, p_800_70, p_801_57, p_810_43,p_811_58, p_826_49, p_840_90, p_842_53, p_852_21, p_912_33, p_922_48,p_965_80, Ion Density (1/m3), Electron Density (1/m3),Electron Temperature (eV),Pressure Upstream (Torr),Pressure Downstream (mTorr), Plasma Power (W),fit10, fit11, fit12, fit13, fit14, fit15,H2_Flow_Rate (sccm), He_Flow_Rate,Argon Flow Rate (sccm)
0.114018952,0.179552114,0.202383219,0.298100375,0.245719364,0.467595258,0.245755619,0.257018624,0.250359262,0.463156458,0.282267339,1.630746652,0.173394229,0.289504709,0.497053146,0.190307954,0.384773957,0.125890917,0.136737746,8.71E+16,1.22E+17,3.018820475,0.52,70.2,115,0.316882031,0.58776411,0.787836288,0.693752887,1.686150906,5.319402528,3,0,70
0.145471221,0.206844307,0.245958014,0.340563136,0.275734539,0.519652586,0.26515665,0.239492403,0.267276432,0.460740674,0.284521417,1.623277494,0.183279849,0.357989036,0.531170294,0.214760556,0.44856692,0.14796568,0.172850096,1.03E+17,9.65E+16,3.023742761,0.61,85,105,0.375341165,0.62740121,1.030829184,0.718841142,1.782405958,5.468549569,3,0,90
0.057797863,0.081345017,0.097869589,0.246509945,0.166160183,0.219232809,0.116459485,0.102763972,0.119096549,0.193414791,0.132766736,0.664719753,0.082032871,0.141856558,0.255691714,0.09270709,0.222493037,0.07925899,0.200218865,2.24E+16,2.33E+16,3.249296769,0.61,64.9,60,0.330059104,0.591221696,1.113265385,0.714071606,2.104961749,6.495222626,3,0,90
0.127080218,0.18092679,0.239479125,0.502890489,0.332625471,0.491539215,0.236682241,0.24236776,0.260827543,0.424133358,0.311917911,1.442046245,0.20553347,0.355459788,0.565812375,0.232590777,0.51918269,0.159490397,0.18025898,3.78E+16,4.19E+16,3.179242472,0.42,70.6,95,0.289737594,0.562114854,0.891712311,0.712356485,1.946509379,6.123550767,3,0,50
0.165821094,0.238990239,0.302770152,0.595298208,0.41543773,0.672706444,0.291394209,0.308320512,0.362789995,0.594865694,0.403447076,2.375842424,0.263198224,0.46374839,0.773021621,0.317036704,0.694973189,0.220790172,0.246797357,6.60E+16,6.29E+16,3.217448637,0.42,40,90,0.127409748,0.451633478,0.28937116,0.654649962,1.622378119,5.652009323,3,0,50
0.180036831,0.259307353,0.303624758,0.372180209,0.321683251,0.645791671,0.323934057,0.295508364,0.310584847,0.537539982,0.331953034,1.951624792,0.207169158,0.409373726,0.649018991,0.252992685,0.542326216,0.170248175,0.191585067,1.25E+17,1.44E+17,2.952205558,0.61,75.3,115,0.403898892,0.652476107,1.010414815,0.69549286,1.624002551,5.034140926,3,0,90
0.096017505,0.142859515,0.182144253,0.256192089,0.20229411,0.361354809,0.185858148,0.180351974,0.184103454,0.304136583,0.190903494,0.987759249,0.12348646,0.246053574,0.39057496,0.154484118,0.32954807,0.108247018,0.129054692,8.45E+16,9.24E+16,3.028377844,0.52,90.5,115,0.393336882,0.638138327,1.130722469,0.721313013,1.84163792,5.595540997,3,0,70
0.188589751,0.269835066,0.306631963,0.410703271,0.364004458,0.614981164,0.326370958,0.277403012,0.325524467,0.588012865,0.326634743,1.878908299,0.194167957,0.392587112,0.599175977,0.242027338,0.573399766,0.184263924,0.210081923,8.99E+16,1.46E+17,2.96357077,0.61,45,108,0.276861828,0.561716419,0.54801266,0.642309351,1.42533579,4.609743903,3,0,90
0.187238017,0.301694226,0.332659851,0.490389551,0.41425606,0.730294673,0.385646788,0.357898199,0.353368984,0.657728189,0.388446453,2.220121186,0.238014635,0.438775787,0.782339983,0.293567941,0.67913878,0.214091065,0.233287163,7.92E+16,1.12E+17,3.031988366,0.61,64.9,100,0.278788616,0.561052822,0.666616604,0.688862243,1.650792826,5.268838562,3,0,90
0.232008929,0.356491387,0.390042126,0.552859732,0.483507755,0.875416367,0.447644238,0.400371199,0.429394908,0.781432773,0.461969509,2.716907953,0.286848471,0.466322785,0.863427131,0.33800212,0.754502448,0.252790481,0.284270923,9.07E+16,1.56E+17,2.923301961,0.61,36.5,115,0.259152915,0.547249446,0.459690366,0.616955959,1.337339189,4.305133892,3,0,90
0.159478353,0.223974549,0.282199936,0.490260928,0.360643774,0.553956206,0.288071829,0.254900315,0.291622417,0.475125361,0.289194881,1.653806018,0.174238232,0.345148972,0.550480864,0.214561543,0.468365674,0.165739258,0.188734263,1.18E+17,9.67E+16,3.831615456,0.52,60.2,90,0.076692021,0.40445256,0.271105052,0.648873159,1.55817709,6.136964166,3,0,70
0.123358593,0.156208329,0.207224237,0.434667967,0.310480537,0.450041929,0.225590918,0.192796745,0.251474313,0.402630041,0.249021716,1.504623132,0.158647724,0.304999315,0.487727024,0.1846223,0.418019094,0.147443672,0.174072947,2.55E+16,2.78E+16,3.285975201,0.61,55.1,60,0.178558397,0.482882457,0.547272875,0.70091591,1.975325859,6.410347239,3,0,90
0.108631295,0.147467767,0.193905362,0.417433399,0.291339769,0.40737437,0.198650997,0.177893951,0.220526002,0.341813494,0.22403901,1.196399656,0.131799279,0.245055374,0.416404817,0.152166117,0.334888082,0.127894087,0.144969711,7.93E+16,5.50E+16,3.953116158,0.52,50.3,70,0.038610044,0.354392444,0.150604645,0.646462689,1.710486234,6.862899127,3,0,70
0.169986348,0.226998539,0.271721086,0.538477586,0.405476692,0.611753244,0.319143575,0.265077841,0.324473255,0.571455979,0.34330601,2.06631003,0.208505729,0.401051887,0.633100273,0.244003748,0.609002545,0.208347599,0.233201228,3.87E+16,4.74E+16,3.261946916,0.61,45,70,0.13539061,0.456976057,0.33623659,0.666008129,1.775168577,6.077382205,3,0,90
0.131839521,0.181300345,0.221098066,0.361245732,0.292006004,0.512433777,0.243279261,0.231231213,0.271103475,0.425262321,0.264941569,1.656995956,0.164030764,0.301724199,0.548894442,0.209693995,0.45578191,0.159911463,0.190475414,5.70E+16,7.58E+16,3.130540966,0.61,36.5,80,0.10766319,0.433663998,0.202218907,0.631271222,1.558483701,5.405078022,3,0,90
0.108952207,0.165801894,0.205588275,0.30588798,0.239565376,0.43133155,0.216374659,0.224340161,0.236598376,0.387355895,0.247601977,1.35047243,0.158866666,0.314137712,0.514515529,0.197118822,0.411872811,0.136175925,0.152546244,7.64E+16,8.39E+16,3.05465364,0.52,80,105,0.297567059,0.56888327,0.815098627,0.701723355,1.929044467,5.916393661,3,0,70
0.181552195,0.241024504,0.323253387,0.606223997,0.453934281,0.691714148,0.333254606,0.301687346,0.371396187,0.563951846,0.362675271,2.140047836,0.210778122,0.376670732,0.694932113,0.257805827,0.576190144,0.210848559,0.229573715,1.31E+17,1.01E+17,3.656636844,0.52,28.7,90,0.040232713,0.366136947,0.074921363,0.557643938,1.262886802,5.019474368,3,0,70
0.158859697,0.231848833,0.290959694,0.533059493,0.374899755,0.608344185,0.281989776,0.30874226,0.340129222,0.5664622,0.381492939,2.040388475,0.251923607,0.438180118,0.69734605,0.294282308,0.628547098,0.198825425,0.218512478,1.28E+17,7.20E+16,3.154942389,0.42,60.7,108,0.274828879,0.559798181,0.77412814,0.691777499,1.800596572,5.855800703,3,0,50
0.157298296,0.231444025,0.287471708,0.509310119,0.374142494,0.627102231,0.274123215,0.283901831,0.335770843,0.549710089,0.366968989,2.149620899,0.235047376,0.409030728,0.705368713,0.289883325,0.649612767,0.207665469,0.2269487,6.68E+16,9.17E+16,3.144238127,0.42,40,108,0.126698861,0.450265256,0.260026241,0.644170758,1.551699066,5.332350796,3,0,50
0.095561987,0.144798284,0.162148087,0.28546019,0.221623449,0.352967572,0.189540906,0.172919936,0.180045221,0.328036015,0.197711902,1.100805792,0.120458629,0.216256692,0.38722399,0.142691619,0.338216584,0.112968153,0.125083494,5.33E+16,6.20E+16,3.162705302,0.61,64.9,80,0.265956475,0.550763376,0.750369755,0.698779631,1.853850384,5.94751829,3,0,90
0.174847141,0.256124458,0.325099716,0.564582271,0.40309791,0.684226961,0.306181762,0.314837988,0.364161759,0.59623507,0.398718412,2.278043771,0.260980266,0.47111739,0.760592251,0.321778479,0.702570926,0.218661361,0.241214932,9.96E+16,8.31E+16,3.164136515,0.42,50.2,108,0.160970959,0.475917873,0.389246779,0.672581761,1.677887512,5.623962807,3,0,50
0.188562162,0.265421787,0.372644469,0.937711441,0.571166425,0.767373962,0.369738736,0.380726713,0.403036117,0.652253826,0.480592724,2.032919596,0.323294806,0.583587035,0.90694544,0.368724634,0.847229032,0.253912952,0.285750762,2.31E+16,2.68E+16,3.112664408,0.42,85,90,0.406606985,0.643043996,1.340879811,0.714837456,2.141241011,6.331099033,3,0,50
0.144473878,0.211775463,0.250177424,0.347271023,0.299234121,0.563963568,0.277462003,0.25442231,0.282032843,0.476532207,0.289183667,1.793591009,0.181389167,0.310420004,0.576486713,0.21863049,0.464182987,0.166475276,0.189730031,7.92E+16,1.21E+17,3.004975566,0.61,36.5,100,0.220286442,0.522094363,0.40389927,0.623336228,1.413082843,4.702304061,3,0,90
0.046542416,0.070933792,0.090731113,0.161754567,0.116425814,0.196062014,0.100725117,0.103879394,0.114667171,0.174156558,0.115316727,0.610529476,0.077283919,0.139128779,0.233434777,0.089514106,0.178964828,0.06269847,0.07203235,4.72E+16,4.28E+16,3.154187109,0.52,80,85,0.357455683,0.609448164,1.151720841,0.717850437,2.064246463,6.256149665,3,0,70
0.204673837,0.282669425,0.353753801,0.629970859,0.471837763,0.784771629,0.347419005,0.368485617,0.448970605,0.707491916,0.485707341,2.815258802,0.308335208,0.53935583,0.928866103,0.389852258,0.805626135,0.271286942,0.291171201,7.59E+16,1.09E+17,3.058891631,0.42,30.5,115,0.15464011,0.473780888,0.267380579,0.608650279,1.354651801,4.611623412,3,0,50
0.149255181,0.242476015,0.254760284,0.351059093,0.30725083,0.52625331,0.280369226,0.250846921,0.245987321,0.462289706,0.302924569,1.739162312,0.186141842,0.3330624,0.588145785,0.219788663,0.532553775,0.163689619,0.179294578,9.37E+16,1.51E+17,2.957496981,0.61,64.9,115,0.377212367,0.633684648,0.889406285,0.680652657,1.556341687,4.890659627,3,0,90
0.14052435,0.210211579,0.26694455,0.473097496,0.326511405,0.536307784,0.26300526,0.268788632,0.279316024,0.484886116,0.326250717,1.632075643,0.213084214,0.386359926,0.607071825,0.25674185,0.54393695,0.173554141,0.188526356,6.29E+16,7.23E+16,3.128773017,0.42,70.6,115,0.3077261,0.579487536,0.889669019,0.71331876,1.792976931,5.691814123,3,0,50
0.084208337,0.123056625,0.155054224,0.250431828,0.18556526,0.317489414,0.161856116,0.161497627,0.169224001,0.274029905,0.175281534,0.85321466,0.113278827,0.224293238,0.357491821,0.14235489,0.295035751,0.100947373,0.116538755,6.28E+16,6.08E+16,3.092443288,0.52,90.5,100,0.417769535,0.65540022,1.315532754,0.731013825,1.955414025,5.891081238,3,0,70
0.216774493,0.309844467,0.412481042,0.834808189,0.563656305,0.851409712,0.411211013,0.413977691,0.45907536,0.756595817,0.519434745,2.68753258,0.352357038,0.641748794,1.002584437,0.423346537,0.880729547,0.291119674,0.326939349,4.23E+16,4.64E+16,3.194343145,0.42,60.7,90,0.24377651,0.533682383,0.721790906,0.706382692,1.849532161,6.009003876,3,0,50
0.072331372,0.095046572,0.13063445,0.30142457,0.198234371,0.2687568,0.134135221,0.123152354,0.147784284,0.228643229,0.152948742,0.755973916,0.09391393,0.174184373,0.287365136,0.109276602,0.241690809,0.088586731,0.098608496,6.61E+16,4.84E+16,3.936094362,0.52,60.2,70,0.11042813,0.430101671,0.482558292,0.679087446,1.716952529,6.763033383,3,0,70
0.138345373,0.194313693,0.2366952,0.365716903,0.291976001,0.536996513,0.258728694,0.239438118,0.270663288,0.443319715,0.281331141,1.73299253,0.176314071,0.321356286,0.552046357,0.208581206,0.466756263,0.15643225,0.182229961,5.61E+16,6.76E+16,3.169024454,0.61,55.1,80,0.192604978,0.49966986,0.488074163,0.679948677,1.770290809,5.853423311,3,0,90
0.127647127,0.180056916,0.218162256,0.372576963,0.275279218,0.465393458,0.234729305,0.204379687,0.239258472,0.402610386,0.251057833,1.342356313,0.164560287,0.313981009,0.472347749,0.187707476,0.415210899,0.13980412,0.16099905,7.65E+16,4.88E+16,3.112258204,0.61,85,85,0.405947145,0.646861705,1.305113657,0.729455605,1.975863345,6.000021927,3,0,90
0.095287527,0.137511812,0.190625408,0.417612458,0.266627908,0.392782737,0.195653676,0.197353866,0.20645407,0.338938953,0.24191459,1.076418336,0.163048675,0.2896198,0.452616318,0.186148974,0.426542982,0.132013573,0.141166381,3.61E+16,3.92E+16,3.115415055,0.42,85,101,0.385553391,0.629082528,1.239081562,0.738250918,1.930368221,5.876484639,3,0,50
0.141487682,0.203159378,0.241140575,0.319859278,0.266810306,0.517436669,0.26650909,0.243481304,0.25317085,0.419310537,0.27305378,1.572390564,0.175046838,0.331095295,0.53573222,0.206800616,0.459030746,0.144663938,0.164105274,7.85E+16,1.02E+17,3.033137781,0.61,75.3,100,0.294638251,0.569133099,0.751607918,0.702481371,1.742235737,5.459041878,3,0,90
0.085928259,0.112196816,0.143710808,0.289199005,0.215885957,0.351970734,0.160315646,0.151554573,0.19079476,0.285665056,0.192314599,1.209724403,0.119769405,0.214711894,0.404605023,0.150229868,0.323633413,0.120199157,0.142267028,3.28E+16,3.84E+16,3.298477048,0.61,36.5,60,0.063004123,0.388487999,0.138798169,0.645145599,1.747240278,6.171589598,3,0,90
0.146053236,0.201410534,0.233098944,0.358544865,0.295003951,0.504118218,0.257266854,0.223384663,0.26825438,0.457868139,0.264998366,1.618354944,0.160598407,0.318915788,0.51789511,0.200941817,0.460917994,0.153457884,0.178190196,6.50E+16,8.77E+16,3.109213088,0.61,45,90,0.118824539,0.441833073,0.239103502,0.653647936,1.591734488,5.37173297,3,0,90
0.146603056,0.20390677,0.257736936,0.454608398,0.334932974,0.540579826,0.261040513,0.245005465,0.279553736,0.451321539,0.279619724,1.549129796,0.1621579,0.312246627,0.53371321,0.199169809,0.446637648,0.157104832,0.17378498,1.19E+17,9.36E+16,3.813744292,0.52,50.3,90,0.030439858,0.345062298,0.094889909,0.632621926,1.522233114,6.059030113,3,0,70
0.215611852,0.327595802,0.37832388,0.483247466,0.430693249,0.845397771,0.419961678,0.3971727,0.401103551,0.677370442,0.42911106,2.548120769,0.261980626,0.480106013,0.843809052,0.318228882,0.739369852,0.223974595,0.247121962,9.55E+16,1.64E+17,2.92581164,0.61,55.1,115,0.320897616,0.591250824,0.673975076,0.661035227,1.468679387,4.642354075,3,0,90
0.178039742,0.227020094,0.313853,0.722419914,0.49205068,0.729649553,0.328847914,0.304641228,0.386626257,0.555510508,0.379147665,2.367824118,0.223035552,0.398108769,0.741895932,0.275707838,0.650869821,0.236320151,0.252933357,8.62E+16,5.81E+16,3.763991404,0.52,28.7,70,0.013733722,0.312609349,0.028819882,0.569747606,1.376752488,5.761452246,3,0,70
0.072948072,0.11754859,0.138385401,0.211894118,0.164318811,0.306925259,0.159386109,0.170475369,0.174183318,0.291777159,0.184825215,1.083972641,0.121451719,0.208343448,0.359456219,0.135853306,0.275859481,0.094461135,0.100048584,7.18E+16,7.95E+16,3.095528304,0.52,70.2,100,0.332553115,0.599985278,0.928634712,0.702882596,1.86946851,5.856169056,3,0,70
0.126565957,0.176196875,0.211028268,0.308060686,0.243368742,0.448402736,0.225371867,0.197577721,0.226888676,0.385041624,0.234946333,1.307521193,0.151981779,0.288937974,0.441147631,0.175770673,0.388705739,0.125052722,0.14547338,9.02E+16,7.53E+16,3.063524027,0.61,85,95,0.364980276,0.617531676,1.063418362,0.716917998,1.887371701,5.778901601,3,0,90
0.144744399,0.207048583,0.24637756,0.365520409,0.299175745,0.562747963,0.276071156,0.260810647,0.276947119,0.45459735,0.298492345,1.793118641,0.182941,0.326705263,0.578560774,0.217078952,0.500469327,0.159385627,0.179547049,7.08E+16,9.11E+16,3.096783514,0.61,55.1,90,0.179706951,0.489746862,0.40824875,0.671725799,1.683398595,5.536360044,3,0,90
0.16578361,0.25301242,0.285087617,0.388680036,0.337368986,0.644998785,0.320866961,0.293930033,0.315754906,0.554000786,0.335629905,2.021002871,0.207668793,0.348973758,0.646904093,0.246660734,0.527300049,0.183624695,0.207936006,8.62E+16,1.40E+17,2.970313917,0.61,36.5,108,0.251886761,0.543693674,0.458554407,0.619738814,1.369751996,4.480345861,3,0,90
0.233234431,0.339306475,0.383089434,0.50156379,0.445116885,0.759922991,0.406601574,0.350544826,0.39871656,0.732340089,0.411971549,2.332488536,0.243021961,0.485301734,0.749636029,0.296301267,0.707460869,0.228845203,0.254508846,9.42E+16,1.61E+17,2.935151829,0.61,45,115,0.280733454,0.562777854,0.540025099,0.63981144,1.401325861,4.481422381,3,0,90
0.275975153,0.399736119,0.517456916,0.982692434,0.660376745,1.063073244,0.514234237,0.52349904,0.550924029,0.916056518,0.628310347,3.166979589,0.426021052,0.772232975,1.200398035,0.511810358,1.085940961,0.33407319,0.372162526,5.13E+16,5.69E+16,3.143136241,0.42,70.6,105,0.293420503,0.567816366,0.869031733,0.713081365,1.86386402,5.89310578,3,0,50
0.18213176,0.259546349,0.337386591,0.602596612,0.441185037,0.744802604,0.317038624,0.338006641,0.400129575,0.655038977,0.431285257,2.554756367,0.278289886,0.490560308,0.834154539,0.340821018,0.75033849,0.240890537,0.261713316,5.80E+16,7.83E+16,3.171565426,0.42,40,100,0.126830511,0.450753889,0.273798856,0.647593614,1.589395345,5.497444692,3,0,50
0.225949488,0.280967313,0.407964519,1.06902253,0.691015901,1.001335172,0.443821446,0.407010971,0.534307186,0.760096681,0.515829177,3.10182359,0.302106294,0.53371835,0.965662935,0.356889548,0.867750125,0.307958104,0.341260183,6.44E+16,4.07E+16,3.886396575,0.52,28.7,60,0.051275433,0.38514653,0.12352132,0.577243642,1.34339376,5.664061103,3,0,70
0.119415879,0.17864927,0.224121398,0.383295855,0.272530482,0.46212211,0.214055222,0.219151564,0.239547155,0.399669948,0.266596582,1.444607436,0.178944349,0.323109941,0.508285227,0.210986755,0.457748738,0.142596869,0.160537822,6.67E+16,8.23E+16,3.144383525,0.42,60.7,115,0.207390601,0.508430184,0.543258009,0.698917389,1.707314441,5.552845642,3,0,50
0.0874411,0.118709433,0.156321171,0.301106152,0.217562905,0.325129363,0.157213197,0.143050856,0.169989991,0.269434226,0.173619698,0.942781554,0.100791268,0.187255375,0.319240408,0.11675986,0.271399616,0.102000101,0.111818229,9.73E+16,7.17E+16,3.911206495,0.52,50.3,80,0.032964385,0.347616168,0.117015454,0.64220296,1.555840749,6.256580957,3,0,70
